Campaign name,Ad set name,Ad name,Day,Amount spent (INR),"CPM (cost per 1,000 impressions)",CTR (link click-through rate),Ad set delivery,Reporting starts,Reporting ends
TOF | Story/Reel,LUXE | IGi | RL,Fragile Frescoes 2 I RL,2024-12-13,13.39,19.77843427,,inactive,2024-12-13,2024-12-13
TOF | All That Grace,BRD | IG,All that grace (4) | SI,2024-12-13,6.28,6.44102564,0.30769231,inactive,2024-12-13,2024-12-13
TOF | All That Grace,BRD | IG,Jackie Necklace | SV,2024-12-13,265.46,27.39242596,1.15571148,inactive,2024-12-13,2024-12-13
TOF | ALL,TIFF - IG,DABA,2024-12-13,1427.27,38.3499476,3.61662681,inactive,2024-12-13,2024-12-13
TOF | CUSTOM | AUTO,TIFF - IG,DEW DROP | SI,2024-12-13,116.09,43.69213399,0.97854723,inactive,2024-12-13,2024-12-13
TOF | KHB |,INT JWLY | IG,Aviva Stylised | SV,2024-12-13,826.98,147.22805768,0.7833363,inactive,2024-12-13,2024-12-13
TOF | CUSTOM | AUTO,TIFF - IG,QUTUB | SI,2024-12-13,74.64,35.14124294,1.17702448,inactive,2024-12-13,2024-12-13
BOF | DPA,VC & ATC_14 Days - IG,DPA,2024-12-13,1568.48,81.4667844,6.5859866,active,2024-12-13,2024-12-13
TOF | All That Grace,ARL | IGi,All that grace (4) | SI,2024-12-13,0.02,20.0,,active,2024-12-13,2024-12-13
TOF | ALL,TIFF - IG,DABA – BS /TP,2024-12-13,20.45,22.95173962,2.69360269,inactive,2024-12-13,2024-12-13
TOF | KHB |,OCC | IG,KHB | DABA (1),2024-12-13,1901.53,194.72913466,4.77214542,inactive,2024-12-13,2024-12-13
TOF | Story/Reel,MAG | IG | ST,Fragile Frescoes 2 I ST,2024-12-13,0.23,9.2,,inactive,2024-12-13,2024-12-13
TOF | Story/Reel,MAG | IG | ST,Emir Photo Locket I ST | IG Post - 30 Oct 2024,2024-12-13,381.61,39.14751744,1.34386541,inactive,2024-12-13,2024-12-13
TOF | ALL,HOME - IG,DABA,2024-12-13,838.31,35.46300605,3.32501375,inactive,2024-12-13,2024-12-13
TOF | CUSTOM | AUTO,TIFF - IG,Arka Necklace | SV,2024-12-13,0.0,0.0,,inactive,2024-12-13,2024-12-13
BOF | DPA,VC & ATC_1 Day - FB,DPA,2024-12-13,548.03,301.11538462,7.96703297,active,2024-12-13,2024-12-13
MOF,MOF | DABA,MOF | DABA 1,2024-12-13,75.41,174.15704388,7.39030023,inactive,2024-12-13,2024-12-13
TOF | Story/Reel,MAG | IG | ST,Aviva | ST,2024-12-13,136.55,52.17806649,1.18456248,inactive,2024-12-13,2024-12-13
TOF | Story/Reel,LUXE | IGi | RL,Fragile Frescoes 1 I RL,2024-12-13,234.54,70.4112879,0.30021015,inactive,2024-12-13,2024-12-13
TOF | All That Grace,ARL | IGi,All that grace (2) | CI,2024-12-13,0.25,41.66666667,,active,2024-12-13,2024-12-13
TOF | Story/Reel,MAG | IG | ST,Fragile Frescoes 1 I ST,2024-12-13,233.21,199.32478632,0.68376068,inactive,2024-12-13,2024-12-13
TOF | 80k,OCC – IG,80k DABA,2024-12-13,511.52,57.98889015,1.76850697,inactive,2024-12-13,2024-12-13
TOF | India Modern,C-OCC - IG,DABA – BS /TP 1,2024-12-13,285.89,203.046875,5.39772727,inactive,2024-12-13,2024-12-13
TOF | Earrings,OCC,Earrings | DABA,2024-12-13,493.09,72.23703487,3.2669206,inactive,2024-12-13,2024-12-13
BOF | DPA,VC & ATC_14 Days - FB,DPA,2024-12-13,463.92,69.46990117,4.73195568,active,2024-12-13,2024-12-13
MOF,MOF | BLR,Juliet Ring | SV,2024-12-13,200.48,137.31506849,2.26027397,inactive,2024-12-13,2024-12-13
TOF | All That Grace,BRD | IG,All that grace (1) | SI,2024-12-13,43.93,11.16959064,0.33053649,inactive,2024-12-13,2024-12-13
TOF | KHB |,INT JWLY | IG,Aviva | SV,2024-12-13,405.07,71.27749428,3.71282773,inactive,2024-12-13,2024-12-13
MOF,MOF | DEL,Juliet Ring | SV,2024-12-13,486.92,125.36560247,1.62203913,inactive,2024-12-13,2024-12-13
TOF | ALL,OCC - IG,DABA – BS /TP 2,2024-12-13,243.23,28.69293382,1.34481538,inactive,2024-12-13,2024-12-13
MOF,MOF | DABA,MOF | DABA 2,2024-12-13,389.78,301.45398299,9.74477958,inactive,2024-12-13,2024-12-13
TOF | All That Grace,ARL | IGi,All that grace (1) | CI,2024-12-13,171.99,49.67937608,1.03986135,active,2024-12-13,2024-12-13
TOF | India Modern,JWLY + TRL - FBi,DABA – BS /TP 1,2024-12-13,92.46,235.26717557,8.65139949,inactive,2024-12-13,2024-12-13
TOF | CUSTOM | AUTO,TIFF - IG,FAYE STYLISED | SI,2024-12-13,56.62,111.45669291,0.59055118,inactive,2024-12-13,2024-12-13
BOF | DPA,VC & ATC_1 Day - IG,DPA,2024-12-13,1037.24,210.0526529,7.95868773,active,2024-12-13,2024-12-13
TOF | Earrings,TRL,Ira Earrings | CV,2024-12-13,50.8,18.85671863,3.15515961,inactive,2024-12-13,2024-12-13
TOF | India Modern,INT JWLY - IG,India Modern DABA,2024-12-13,796.74,109.24722336,4.42890443,inactive,2024-12-13,2024-12-13
TOF | India Modern,HOME - IG,India Modern DABA,2024-12-13,393.59,176.26063592,5.68741603,inactive,2024-12-13,2024-12-13
TOF | India Modern,HOME - IG,DABA – BS /TP 1,2024-12-13,93.9,266.00566572,4.5325779,inactive,2024-12-13,2024-12-13
TOF | Story/Reel,LUXE | IGi | RL,Amey Ring | RL,2024-12-13,46.75,23.4688755,0.30120482,inactive,2024-12-13,2024-12-13
TOF | All That Grace,ARL | IGi,All that grace | DABA,2024-12-13,297.38,59.49979992,2.5010004,active,2024-12-13,2024-12-13
TOF | ALL,INT JWLY - IG,DABA,2024-12-13,679.24,51.63359939,3.77803117,inactive,2024-12-13,2024-12-13
TOF | CUSTOM | AUTO,TIFF - IG,IRA | SI,2024-12-13,624.27,43.67662492,3.05044427,inactive,2024-12-13,2024-12-13
TOF | Story/Reel,LUXE | IGi | RL,Emir Photo Locket I RL | IG Post - 30 Oct 2024,2024-12-13,96.45,12.69580097,0.26326181,inactive,2024-12-13,2024-12-13
TOF | 80k,OCC – IG,80k DABA | Rings,2024-12-13,4.66,93.2,,inactive,2024-12-13,2024-12-13
TOF | CUSTOM | AUTO,TIFF - IG,Qutab Necklace | SV,2024-12-13,2.44,12.01970443,0.49261084,inactive,2024-12-13,2024-12-13
TOF | CUSTOM | AUTO,TIFF - IG,ARKA STYLISED | SI,2024-12-13,33.86,90.53475936,0.80213904,inactive,2024-12-13,2024-12-13
TOF | Story/Reel,MAG | IG | ST,Anah Necklace | ST,2024-12-13,531.74,248.24463119,1.96078431,inactive,2024-12-13,2024-12-13
TOF | All That Grace,ARL | IGi,Jackie Necklace | SV,2024-12-13,14.89,38.17948718,,active,2024-12-13,2024-12-13
TOF | All That Grace,ARL | IGi,Debbie Earrings | SV,2024-12-13,0.14,17.5,,active,2024-12-13,2024-12-13
MOF,MOF | MUM,Juliet Ring | SV,2024-12-13,482.32,132.94377067,1.46085998,inactive,2024-12-13,2024-12-13
TOF | All That Grace,BRD | IG,All that grace (2) | SI,2024-12-13,5.24,8.41091493,,inactive,2024-12-13,2024-12-13
TOF | ALL,INT JWLY - IG,DABA – BS /TP,2024-12-13,248.24,28.97630442,2.75475662,inactive,2024-12-13,2024-12-13
MOF,MOF | BLR,RV | CC,2024-12-13,289.8,770.74468085,0.79787234,inactive,2024-12-13,2024-12-13
TOF | All That Grace,ARL | IGi,All that grace (2) | SI,2024-12-13,0.02,20.0,,active,2024-12-13,2024-12-13
TOF | Earrings,TRL,Earrings | CC,2024-12-13,10.21,90.3539823,0.88495575,inactive,2024-12-13,2024-12-13
TOF | All That Grace,BRD | IG,All that grace | SV,2024-12-13,0.21,2.72727273,,inactive,2024-12-13,2024-12-13
TOF | ALL,MAG - IG,DABA – BS /TP 2,2024-12-13,492.03,23.67691641,1.79490881,inactive,2024-12-13,2024-12-13
TOF | CUSTOM | AUTO,C-OCC,CC,2024-12-13,1082.41,415.99154497,4.88086088,inactive,2024-12-13,2024-12-13
TOF | India Modern,JWLY + TRL - FBi,India Modern DABA,2024-12-13,379.71,262.23066298,6.56077348,inactive,2024-12-13,2024-12-13
TOF | CUSTOM | AUTO,TIFF - IG,MARRAKESH | SI,2024-12-13,229.07,102.21775993,1.33868809,inactive,2024-12-13,2024-12-13
TOF | All That Grace,BRD | IG,Jackie Multilayered Necklace | SV,2024-12-13,0.89,6.22377622,,inactive,2024-12-13,2024-12-13
TOF | India Modern,INT JWLY - IG,DABA – BS /TP 1,2024-12-13,205.61,229.47544643,4.79910714,inactive,2024-12-13,2024-12-13
TOF | All That Grace,ARL | IGi,All that grace | SV,2024-12-13,2.28,47.5,,active,2024-12-13,2024-12-13
TOF | All That Grace,BRD | IG,Debbie Earrings | SV,2024-12-13,126.0,22.71498107,0.41463854,inactive,2024-12-13,2024-12-13
MOF,MOF | KHB,Cutch Tassel | SI,2024-12-13,6.23,183.23529412,,inactive,2024-12-13,2024-12-13
TOF | KHB |,OCC | IG,KHB | DABA,2024-12-13,72.36,623.79310345,0.86206897,inactive,2024-12-13,2024-12-13
TOF | CUSTOM | AUTO,TIFF - IG,ARKA | SI,2024-12-13,59.26,113.7428023,0.9596929,inactive,2024-12-13,2024-12-13
TOF | ALL,HOME - IG,DABA – BS /TP,2024-12-13,139.79,37.62853297,2.15343203,inactive,2024-12-13,2024-12-13
TOF | Earrings,OCC,Felix Earrings | CV,2024-12-13,0.44,15.17241379,,inactive,2024-12-13,2024-12-13
TOF | CUSTOM | AUTO,TIFF - IG,Amey Ring | SV,2024-12-13,0.02,10.0,,inactive,2024-12-13,2024-12-13
TOF | India Modern,JWLY + TRL - FB,India Modern DABA,2024-12-13,372.72,122.28346457,6.62729659,inactive,2024-12-13,2024-12-13
TOF | KHB |,INT JWLY | IG,Sikar Necklace | SI,2024-12-13,464.86,52.43767625,1.03778906,inactive,2024-12-13,2024-12-13
TOF | India Modern,INT JWLY - IGi,India Modern DABA,2024-12-13,403.73,365.03616637,6.32911392,inactive,2024-12-13,2024-12-13
TOF | India Modern,INT JWLY - IGi,DABA – BS /TP 1,2024-12-13,81.85,442.43243243,13.51351351,inactive,2024-12-13,2024-12-13
TOF | India Modern,JWLY + TRL - FB,DABA – BS /TP 1,2024-12-13,100.73,130.64850843,4.6692607,inactive,2024-12-13,2024-12-13
TOF | India Modern,C-OCC - IG,India Modern DABA,2024-12-13,710.38,176.97558545,5.43099153,inactive,2024-12-13,2024-12-13
TOF | Story/Reel,LUXE | IGi | RL,Anah Necklace | RL,2024-12-13,1239.07,126.08832808,0.6919711,inactive,2024-12-13,2024-12-13
TOF | ALL,MAG - IG,DABA,2024-12-13,531.49,23.22539766,1.92711064,inactive,2024-12-13,2024-12-13
TOF | All That Grace,ARL | IGi,All that grace (4) | CI,2024-12-13,0.02,10.0,,active,2024-12-13,2024-12-13
MOF,MOF | DEL,RV | CC,2024-12-13,519.72,538.56994819,1.86528497,inactive,2024-12-13,2024-12-13
MOF,MOF | HYD,Juliet Ring | SV,2024-12-13,254.89,109.81904352,1.29254632,inactive,2024-12-13,2024-12-13
TOF | CUSTOM | AUTO,TIFF - IG,CC,2024-12-13,55.48,1180.42553191,4.25531915,inactive,2024-12-13,2024-12-13
TOF | CUSTOM | AUTO,TIFF - IG,Anah Necklace | SV,2024-12-12,61.23,16.86312311,0.35802809,inactive,2024-12-12,2024-12-12
TOF | KHB,INT JWLY,10012 _ Nawab Necklace _ SI,2024-12-12,293.26,1297.61061947,19.91150442,not_delivering,2024-12-12,2024-12-12
MOF,MOF | BLR,Juliet Ring | SV,2024-12-12,243.09,126.01866252,1.65889062,inactive,2024-12-12,2024-12-12
TOF | CUSTOM | AUTO,TIFF - IG,FAYE STYLISED | SI,2024-12-12,25.02,28.92485549,0.46242775,inactive,2024-12-12,2024-12-12
TOF | India Modern,JWLY + TRL - FBi,India Modern DABA,2024-12-12,374.44,298.83479649,8.06065443,inactive,2024-12-12,2024-12-12
TOF | Earrings,OCC,Ira Earrings | CV,2024-12-12,21.55,83.52713178,2.71317829,inactive,2024-12-12,2024-12-12
TOF | KHB,OCC,10012 _ Nawab Necklace _ SI,2024-12-12,279.1,126.51858568,2.67452403,not_delivering,2024-12-12,2024-12-12
TOF | KHB |,OCC | IG,KHB | DABA,2024-12-12,69.07,1606.27906977,2.3255814,inactive,2024-12-12,2024-12-12
TOF | ALL,INT JWLY - IG,DABA – BS /TP,2024-12-12,268.11,53.61127774,5.35892821,inactive,2024-12-12,2024-12-12
TOF | ATC,BTY-V,Love Pendant I SV,2024-12-12,158.85,1418.30357143,26.78571429,not_delivering,2024-12-12,2024-12-12
TOF | KHB,OCC,10010 _ Qutub Necklace _ SI,2024-12-12,10.78,371.72413793,17.24137931,not_delivering,2024-12-12,2024-12-12
TOF | ATC,PFM – SI,10037 I Rorry Gilmore I SI,2024-12-12,140.84,1126.72,23.2,not_delivering,2024-12-12,2024-12-12
MOF,MOF | KHB,ida and ineya | SV,2024-12-12,131.44,260.27722772,0.59405941,inactive,2024-12-12,2024-12-12
TOF | India Modern,HOME - IG,DABA – BS /TP 1,2024-12-12,162.32,336.76348548,6.22406639,inactive,2024-12-12,2024-12-12
MOF,MOF | DEL,RV | CC,2024-12-12,338.19,388.72413793,0.34482759,inactive,2024-12-12,2024-12-12
TOF | ATC,BTY-V,Firdos Bracelet I SV,2024-12-12,0.45,450.0,100.0,not_delivering,2024-12-12,2024-12-12
TOF | India Modern,JWLY + TRL - FB,DABA – BS /TP 1,2024-12-12,128.38,130.20283976,6.49087221,inactive,2024-12-12,2024-12-12
TOF | India Modern,INT JWLY - IG,DABA – BS /TP 1,2024-12-12,208.8,312.10762332,5.38116592,inactive,2024-12-12,2024-12-12
TOF | CUSTOM | AUTO,TIFF - IG,Amey Ring | SV,2024-12-12,10.6,73.10344828,,inactive,2024-12-12,2024-12-12
TOF | India Modern,JWLY + TRL - FB,India Modern DABA,2024-12-12,420.38,163.12766783,8.18781529,inactive,2024-12-12,2024-12-12
TOF | ALL,HOME - IG,DABA – BS /TP,2024-12-12,98.75,33.5998639,2.04151072,inactive,2024-12-12,2024-12-12
TOF | India Modern,INT JWLY - IGi,DABA – BS /TP 1,2024-12-12,170.46,655.61538462,8.46153846,inactive,2024-12-12,2024-12-12
TOF | Story/Reel,LUXE | IGi | RL,Anah Necklace | RL,2024-12-12,477.05,89.00186567,0.3358209,inactive,2024-12-12,2024-12-12
TOF | ALL,MAG - IG,DABA,2024-12-12,405.91,24.71895743,1.74167225,inactive,2024-12-12,2024-12-12
MOF,MOF | HYD,Juliet Ring | SV,2024-12-12,180.58,78.30875976,1.2575889,inactive,2024-12-12,2024-12-12
TOF | 80k,OCC – IG,80k DABA | Rings,2024-12-12,0.42,20.0,,inactive,2024-12-12,2024-12-12
TOF | CUSTOM | AUTO,TIFF - IG,QUTUB | SI,2024-12-12,97.49,25.27612134,1.11485611,inactive,2024-12-12,2024-12-12
TOF | All That Grace,ARL | IGi,All that grace | DABA,2024-12-12,256.48,91.14427861,3.37597726,active,2024-12-12,2024-12-12
TOF | ALL,INT JWLY - IG,DABA,2024-12-12,777.37,77.11238964,4.32496776,inactive,2024-12-12,2024-12-12
TOF | Story/Reel,LUXE | IGi | RL,Amey Ring | RL,2024-12-12,44.32,14.85752598,0.23466309,inactive,2024-12-12,2024-12-12
MOF,MOF | MUM,Juliet Ring | SV,2024-12-12,437.72,116.66311301,1.70575693,inactive,2024-12-12,2024-12-12
MOF,MOF | BLR,RV | CC,2024-12-12,227.85,735.0,0.32258065,inactive,2024-12-12,2024-12-12
TOF | CUSTOM | AUTO,C-OCC,CC,2024-12-12,350.27,251.99280576,3.02158273,inactive,2024-12-12,2024-12-12
TOF | ALL,MAG - IG,DABA – BS /TP 2,2024-12-12,582.91,20.19155496,1.7284977,inactive,2024-12-12,2024-12-12
TOF | CUSTOM | AUTO,TIFF - IG,ARKA | SI,2024-12-12,40.61,30.12611276,0.59347181,inactive,2024-12-12,2024-12-12
TOF | India Modern,INT JWLY - IG,India Modern DABA,2024-12-12,435.79,104.65658021,4.73102786,inactive,2024-12-12,2024-12-12
TOF | Story/Reel,MAG | IG | ST,Fragile Frescoes 2 I ST,2024-12-12,28.2,39.88684583,,inactive,2024-12-12,2024-12-12
MOF,MOF | DEL,Juliet Ring | SV,2024-12-12,508.1,109.40999139,1.78725237,inactive,2024-12-12,2024-12-12
TOF | 80k,OCC – IG,80k DABA,2024-12-12,492.02,111.36713445,2.62562245,inactive,2024-12-12,2024-12-12
TOF | ATC,TIFF-V,Love Pendant I SV,2024-12-12,181.35,2108.72093023,39.53488372,not_delivering,2024-12-12,2024-12-12
TOF | Story/Reel,LUXE | IGi | RL,Fragile Frescoes 1 I RL,2024-12-12,115.51,68.18772137,0.29515939,inactive,2024-12-12,2024-12-12
TOF | ATC,BTY – SI,10038 I Hope Rosary Tassel I SI,2024-12-12,148.52,1217.37704918,15.57377049,not_delivering,2024-12-12,2024-12-12
MOF,MOF | DABA,MOF | DABA 1,2024-12-12,101.98,409.55823293,12.04819277,inactive,2024-12-12,2024-12-12
MOF,MOF | DABA,MOF | DABA 2,2024-12-12,417.74,229.40142779,8.73146623,inactive,2024-12-12,2024-12-12
BOF | DPA,VC & ATC_1 Day - FB,DPA,2024-12-12,545.74,316.00463231,8.10654314,active,2024-12-12,2024-12-12
TOF | ALL,TIFF - IG,DABA – BS /TP,2024-12-12,108.59,33.78655881,2.17797138,inactive,2024-12-12,2024-12-12
TOF | KHB |,INT JWLY | IG,Aviva Stylised | SV,2024-12-12,777.06,151.94759484,0.35197497,inactive,2024-12-12,2024-12-12
MOF,MOF | KHB,Zeya Necklace | SV,2024-12-12,238.88,259.37024973,1.08577633,inactive,2024-12-12,2024-12-12
TOF | Story/Reel,LUXE | IGi | RL,Aviva | RL,2024-12-12,72.14,23.44491388,0.16249594,inactive,2024-12-12,2024-12-12
MOF,MOF | HYD,RV | CC,2024-12-12,11.29,198.07017544,,inactive,2024-12-12,2024-12-12
TOF | ATC,PFM-V,117134 Felix Earrings | SV,2024-12-12,332.18,951.80515759,26.64756447,not_delivering,2024-12-12,2024-12-12
TOF | 80k,OCC – IG,80k DABA | Earrings,2024-12-12,3.11,38.875,1.25,inactive,2024-12-12,2024-12-12
TOF | All That Grace,ARL | IGi,All that grace (1) | SI,2024-12-12,0.05,50.0,,active,2024-12-12,2024-12-12
TOF | KHB |,INT JWLY | IG,Aviva | SV,2024-12-12,657.17,66.86031132,3.56089124,inactive,2024-12-12,2024-12-12
TOF | Story/Reel,LUXE | IGi | RL,Fragile Frescoes 2 I RL,2024-12-12,0.49,23.33333333,,inactive,2024-12-12,2024-12-12
TOF | Earrings,OCC,Earrings | DABA,2024-12-12,452.52,65.90736965,3.01485581,inactive,2024-12-12,2024-12-12
TOF | CUSTOM | AUTO,TIFF - IG,CC,2024-12-12,205.35,679.96688742,2.98013245,inactive,2024-12-12,2024-12-12
TOF | CUSTOM | AUTO,TIFF - IG,ARKA STYLISED | SI,2024-12-12,74.26,75.62118126,0.40733198,inactive,2024-12-12,2024-12-12
BOF | DPA,VC & ATC_14 Days - FB,DPA,2024-12-12,563.47,58.87263609,4.74349598,active,2024-12-12,2024-12-12
TOF | All That Grace,BRD | IG,All that grace (3) | SI,2024-12-12,0.31,4.92063492,,inactive,2024-12-12,2024-12-12
TOF | All That Grace,BRD | IG,All that grace | SV,2024-12-12,0.15,9.375,,inactive,2024-12-12,2024-12-12
TOF | ALL,OCC - IG,DABA,2024-12-12,172.32,34.11601663,1.46505642,inactive,2024-12-12,2024-12-12
TOF | KHB |,INT JWLY | IG,Zeya Necklace | SI,2024-12-12,136.44,51.23544874,0.48817124,inactive,2024-12-12,2024-12-12
TOF | Earrings,TRL,Earrings | CC,2024-12-12,15.68,130.66666667,5.0,inactive,2024-12-12,2024-12-12
BOF | DPA,VC & ATC_14 Days - IG,DPA,2024-12-12,1456.12,76.00981365,5.99780759,active,2024-12-12,2024-12-12
TOF | All That Grace,ARL | IGi,Jackie Necklace | SV,2024-12-12,12.59,46.80297398,1.11524164,active,2024-12-12,2024-12-12
TOF | All That Grace,BRD | IG,All that grace (1) | SI,2024-12-12,87.48,9.57425851,0.22983474,inactive,2024-12-12,2024-12-12
TOF | CUSTOM | AUTO,TIFF - IG,Qutab Necklace | SV,2024-12-12,234.69,23.13356333,0.25628388,inactive,2024-12-12,2024-12-12
TOF | India Modern,HOME - IG,India Modern DABA,2024-12-12,321.01,179.83753501,6.77871148,inactive,2024-12-12,2024-12-12
TOF | Earrings,OCC,Felix Earrings | CV,2024-12-12,13.17,28.75545852,4.58515284,inactive,2024-12-12,2024-12-12
TOF | Story/Reel,MAG | IG | ST,Fragile Frescoes 1 I ST,2024-12-12,168.68,127.1137905,0.7535795,inactive,2024-12-12,2024-12-12
TOF | Story/Reel,MAG | IG | ST,Amey Ring | ST,2024-12-12,40.46,47.65606596,0.58892815,inactive,2024-12-12,2024-12-12
TOF | CUSTOM | AUTO,TIFF - IG,IRA | SI,2024-12-12,566.16,29.14444559,1.62153814,inactive,2024-12-12,2024-12-12
TOF | Earrings,TRL,Ira Earrings | CV,2024-12-12,65.92,36.95067265,3.13901345,inactive,2024-12-12,2024-12-12
TOF | India Modern,JWLY + TRL - FBi,DABA – BS /TP 1,2024-12-12,130.37,238.33638026,7.86106033,inactive,2024-12-12,2024-12-12
TOF | ALL,OCC - IG,DABA – BS /TP 2,2024-12-12,287.4,23.71678495,1.55966331,inactive,2024-12-12,2024-12-12
BOF | DPA,VC & ATC_1 Day - IG,DPA,2024-12-12,1010.61,252.02244389,8.42892768,active,2024-12-12,2024-12-12
TOF | All That Grace,ARL | IGi,Debbie Earrings | SV,2024-12-12,0.01,10.0,,active,2024-12-12,2024-12-12
TOF | All That Grace,BRD | IG,Debbie Earrings | SV,2024-12-12,163.75,15.16905975,0.37980547,inactive,2024-12-12,2024-12-12
TOF | India Modern,C-OCC - IG,India Modern DABA,2024-12-12,399.19,172.9592721,6.41247834,inactive,2024-12-12,2024-12-12
TOF | KHB |,OCC | IG,KHB | DABA (1),2024-12-12,1384.39,242.23797025,6.00174978,inactive,2024-12-12,2024-12-12
TOF | ALL,HOME - IG,DABA,2024-12-12,830.28,43.42014434,3.41491476,inactive,2024-12-12,2024-12-12
TOF | CUSTOM | AUTO,TIFF - IG,Arka Necklace | SV,2024-12-12,6.21,50.90163934,,inactive,2024-12-12,2024-12-12
TOF | CUSTOM | AUTO,TIFF - IG,MARRAKESH | SI,2024-12-12,183.18,78.31551945,0.81231295,inactive,2024-12-12,2024-12-12
MOF,MOF | KHB,Cutch Tassel | SI,2024-12-12,5.78,825.71428571,,inactive,2024-12-12,2024-12-12
TOF | Story/Reel,MAG | IG | ST,Emir Photo Locket I ST | IG Post - 30 Oct 2024,2024-12-12,1107.04,40.34990523,1.07887447,inactive,2024-12-12,2024-12-12
TOF | Earrings,OCC,Earrings | CC,2024-12-12,6.92,256.2962963,,inactive,2024-12-12,2024-12-12
TOF | ALL,TIFF - IG,DABA,2024-12-12,1005.6,45.61371677,3.58341649,inactive,2024-12-12,2024-12-12
TOF | All That Grace,BRD | IG,Jackie Multilayered Necklace | SV,2024-12-12,1.65,117.85714286,,inactive,2024-12-12,2024-12-12
TOF | All That Grace,BRD | IG,All that grace (4) | SI,2024-12-12,0.2,3.38983051,,inactive,2024-12-12,2024-12-12
TOF | All That Grace,BRD | IG,All that grace (2) | SI,2024-12-12,0.31,3.52272727,,inactive,2024-12-12,2024-12-12
TOF | Story/Reel,MAG | IG | ST,Aviva | ST,2024-12-12,236.85,42.79906035,0.9035056,inactive,2024-12-12,2024-12-12
TOF | All That Grace,BRD | IG,Jackie Necklace | SV,2024-12-12,326.59,20.71088845,0.8117192,inactive,2024-12-12,2024-12-12
MOF,MOF | KHB,Sikar Necklace Model | SI,2024-12-12,136.82,146.4882227,2.99785867,inactive,2024-12-12,2024-12-12
TOF | CUSTOM | AUTO,TIFF - IG,DEW DROP | SI,2024-12-12,141.36,19.10786699,0.56772101,inactive,2024-12-12,2024-12-12
TOF | Story/Reel,MAG | IG | ST,Anah Necklace | ST,2024-12-12,189.45,106.19394619,1.68161435,inactive,2024-12-12,2024-12-12
TOF | KHB,WD,10005 | Qutub Necklace | SV,2024-12-12,350.05,423.78934625,8.71670702,not_delivering,2024-12-12,2024-12-12
TOF | Earrings,TRL,Earrings | DABA,2024-12-12,428.15,45.727865,3.417708,inactive,2024-12-12,2024-12-12
TOF | All That Grace,ARL | IGi,All that grace (1) | CI,2024-12-12,241.38,64.88709677,2.09677419,active,2024-12-12,2024-12-12
TOF | Earrings,TRL,Felix Earrings | CV,2024-12-12,0.47,8.24561404,1.75438596,inactive,2024-12-12,2024-12-12
MOF,MOF | MUM,RV | CC,2024-12-12,321.66,496.38888889,0.46296296,inactive,2024-12-12,2024-12-12
TOF | Story/Reel,LUXE | IGi | RL,Emir Photo Locket I RL | IG Post - 30 Oct 2024,2024-12-12,96.76,12.50452313,0.23261825,inactive,2024-12-12,2024-12-12
TOF | India Modern,INT JWLY - IGi,India Modern DABA,2024-12-12,324.47,423.03780965,7.04041721,inactive,2024-12-12,2024-12-12
TOF | India Modern,C-OCC - IG,DABA – BS /TP 1,2024-12-12,277.49,277.21278721,7.99200799,inactive,2024-12-12,2024-12-12
TOF | KHB |,INT JWLY | IG,Sikar Necklace | SI,2024-12-12,265.67,37.37093825,0.85806724,inactive,2024-12-12,2024-12-12
TOF | All That Grace,BRD | IG,All that grace | SV,2024-12-11,4.06,23.46820809,,inactive,2024-12-11,2024-12-11
MOF,MOF | DEL,Juliet Ring | SV,2024-12-11,477.68,114.08645808,1.76737521,inactive,2024-12-11,2024-12-11
TOF | CUSTOM | AUTO,TIFF - IG,ARKA STYLISED | SI,2024-12-11,71.79,39.31544359,0.60240964,inactive,2024-12-11,2024-12-11
TOF | All That Grace,BRD | IG,All that grace (4) | SI,2024-12-11,0.08,3.2,,inactive,2024-12-11,2024-12-11
TOF | India Modern,JWLY + TRL - FB,India Modern DABA,2024-12-11,345.43,116.69932432,7.77027027,inactive,2024-12-11,2024-12-11
TOF | India Modern,C-OCC - IG,DABA – BS /TP 1,2024-12-11,237.8,284.79041916,8.38323353,inactive,2024-12-11,2024-12-11
TOF | All That Grace,BRD | IG,Debbie Earrings | SV,2024-12-11,151.59,18.61141805,0.41743401,inactive,2024-12-11,2024-12-11
TOF | CUSTOM | AUTO,TIFF - IG,DEW DROP | SI,2024-12-11,207.34,14.94557774,0.63432567,inactive,2024-12-11,2024-12-11
TOF | India Modern,INT JWLY - IGi,DABA – BS /TP 1,2024-12-11,196.65,594.10876133,8.1570997,inactive,2024-12-11,2024-12-11
TOF | ALL,HOME - IG,DABA – BS /TP,2024-12-11,98.7,43.88617163,3.5126723,inactive,2024-12-11,2024-12-11
TOF | CUSTOM | AUTO,TIFF - IG,Amey Ring | SV,2024-12-11,22.87,30.09210526,0.39473684,inactive,2024-12-11,2024-12-11
TOF | Earrings,TRL,Ira Earrings | CV,2024-12-11,152.68,454.4047619,4.16666667,inactive,2024-12-11,2024-12-11
TOF | KHB |,INT JWLY | IG,Aviva Stylised | SV,2024-12-11,628.36,143.59232176,0.63985375,inactive,2024-12-11,2024-12-11
MOF,MOF | KHB,Cutch Tassel | SI,2024-12-11,10.74,370.34482759,3.44827586,inactive,2024-12-11,2024-12-11
TOF | India Modern,INT JWLY - IG,India Modern DABA,2024-12-11,291.0,113.53882169,4.40889583,inactive,2024-12-11,2024-12-11
